Nome;Partido;Estado;Codigo;CD01O054O008776;CD01O081O008795;Lado;tsne-1d-one;tsne-2d-two
GELSON AZEVEDO;PR;Rio de Janeiro;301;Não Votou;Não;GOVERNO;21.202438;-6.834091
GUTEMBERG REIS;MDB;Rio de Janeiro;302;Não;Não;GOVERNO;-18.753115;1.3665012
HELIO LOPES;PSL;Rio de Janeiro;303;Sim;Não;GOVERNO;21.395365;13.85464
GLAUBER BRAGA;PSOL;Rio de Janeiro;304;Não Votou;Obstrução;OPOSIÇÃO;21.202263;-6.8340807
JANDIRA FEGHALI;PCdoB;Rio de Janeiro;305;Sim;Não Votou;OPOSIÇÃO;2.8965244;19.143637
HUGO LEAL;PSD;Rio de Janeiro;306;Não;Não;GOVERNO;-18.753115;1.3665012
JUNINHO DO PNEU;DEM;Rio de Janeiro;308;Não;Não;GOVERNO;-18.753115;1.3665012
LOURIVAL GOMES;PSL;Rio de Janeiro;309;Não;Não;GOVERNO;-18.753115;1.3665012
LUIZ ANTÔNIO CORRÊA;S.Part.;Rio de Janeiro;310;Não;Não;MINORIA;-18.753115;1.3665012
LUIZ LIMA;PSL;Rio de Janeiro;311;Sim;Sim;GOVERNO;4.723347;3.685406
MAJOR FABIANA;PSL;Rio de Janeiro;312;Sim;Não Votou;GOVERNO;2.896576;19.143625
MARCELO CALERO;PPS;Rio de Janeiro;313;Sim;Não;MINORIA;21.508038;13.5253315
PEDRO PAULO;DEM;Rio de Janeiro;314;Não;Não;GOVERNO;-18.753115;1.3665012
MARCELO FREIXO;PSOL;Rio de Janeiro;315;Sim;Obstrução;OPOSIÇÃO;20.678791;13.421737
MÁRCIO LABRE;PSL;Rio de Janeiro;316;Não;Não;GOVERNO;-18.753115;1.3665012
OTONI DE PAULA;PSC;Rio de Janeiro;317;Não;Sim;GOVERNO;2.3905475;-10.183059
PAULO GANIME;NOVO;Rio de Janeiro;318;Sim;Sim;GOVERNO;4.7236977;3.6841805
PAULO RAMOS;PDT;Rio de Janeiro;319;Não;Não;MINORIA;-18.753115;1.3665012
PROFESSOR JOZIEL;PSL;Rio de Janeiro;320;Não;Não Votou;GOVERNO;1.108358;-18.185274
GURGEL;PSL;Rio de Janeiro;321;Sim;Não;GOVERNO;20.90897;13.165237
RODRIGO MAIA;DEM;Rio de Janeiro;322;Art.;Art.;GOVERNO;10.856665;-1.1036242
TALÍRIA PETRONE;PSOL;Rio de Janeiro;323;Sim;Obstrução;OPOSIÇÃO;21.514175;13.524734
VINICIUS FARAH;MDB;Rio de Janeiro;324;Não;Não;GOVERNO;-18.753115;1.3665012
ROSANGELA GOMES;PRB;Rio de Janeiro;325;Não;Não Votou;GOVERNO;1.3116587;-18.177198
WLADIMIR GAROTINHO;PSD;Rio de Janeiro;327;Sim;Não;GOVERNO;20.676842;13.748909
SORAYA SANTOS;PR;Rio de Janeiro;328;Não Votou;Não Votou;GOVERNO;10.856304;-1.1032579
SÓSTENES CAVALCANTE;DEM;Rio de Janeiro;329;Sim;Não Votou;GOVERNO;2.8967798;19.143652
RENATA ABREU;Podemos;São Paulo;330;Sim;Não;MINORIA;20.794107;13.875843
ALEX MANENTE;PPS;São Paulo;331;Sim;Não Votou;MINORIA;2.8964088;19.144411
ABOU ANNI;PSL;São Paulo;332;Sim;Não;GOVERNO;21.452093;13.759158
ADRIANA VENTURA;NOVO;São Paulo;333;Sim;Sim;GOVERNO;4.7235794;3.6846251
ALEXANDRE LEITE;DEM;São Paulo;334;Não Votou;Não;GOVERNO;21.202272;-6.834073
BRUNA FURLAN;PSDB;São Paulo;335;Não;Não Votou;GOVERNO;1.3636034;-18.160542
ARLINDO CHINAGLIA;PT;São Paulo;336;Não;Não Votou;OPOSIÇÃO;1.1000301;-18.186775
ALENCAR SANTANA BRAGA;PT;São Paulo;337;Não;Obstrução;OPOSIÇÃO;-18.753115;1.3665012
CARLOS SAMPAIO;PSDB;São Paulo;338;Não;Não Votou;GOVERNO;1.4095035;-17.121191
ARNALDO JARDIM;PPS;São Paulo;339;Sim;Não Votou;MINORIA;2.8959405;19.14439
