Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
SEVERINO PESSOA;PRB;Alagoas;172;Não Votou;Não Votou;Não;Não;Não;Não;Não;Sim;Não;Sim;Não Votou;Não;Não Votou;Não;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-22.78658;-6.0385027
TEREZA NELMA;PSDB;Alagoas;173;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;1.7066718;-1.6757107
BOSCO COSTA;PR;Sergipe;174;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-2.924615;3.4874172
FÁBIO HENRIQUE;PDT;Sergipe;175;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-9.740528;7.5457487
LAERCIO OLIVEIRA;PP;Sergipe;176;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.3178234;-6.767135
FÁBIO MITIDIERI;PSD;Sergipe;177;Não Votou;Sim;Não;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-18.303125;-7.605486
FABIO REIS;MDB;Sergipe;178;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;0.93732727;13.410307
JOÃO DANIEL;PT;Sergipe;179;Não Votou;Não;Obstrução;Não;Obstrução;Não Votou;Sim;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Sim;Obstrução;Não Votou;Não Votou;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-10.397151;-25.148273
ALICE PORTUGAL;PCdoB;Bahia;180;Não Votou;Não;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-23.425276;-18.489641
GUSTINHO RIBEIRO;Solidariedade;Sergipe;181;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;5.7597113;2.6891904
AFONSO FLORENCE;PT;Bahia;182;Não;Não;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Não Votou;Sim;Sim;Obstrução;Obstrução;Não;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-13.818601;-23.756872
