Nome;Partido;Estado;Codigo;CD01O022O008720;CD01O022O008722;CD01O031O008729;CD01O031O008730;CD01O032E008733;CD01O035O008734;CD01O035O008735;CD01O035O008736;CD01O035O008738;CD01O035O008739;CD01O035O008740;CD01O036E008741;CD01O036E008742;CD01O036E008743;CD01O043O008748;CD01O043O008749;CD01O043O008751;CD01O043O008752;CD01O044E008756;CD01O044E008758;CD01O044E008759;CD01O044E008760;CD01O044E008761;CD01O044E008762;Lado;tsne-1d-one;tsne-2d-two
RODRIGO MAIA;DEM;Rio de Janeiro;322;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;-7.1452775;5.5534463
TALÍRIA PETRONE;PSOL;Rio de Janeiro;323;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-9.99564;-11.985301
VINICIUS FARAH;MDB;Rio de Janeiro;324;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;6.9122825;-4.437747
ROSANGELA GOMES;PRB;Rio de Janeiro;325;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-17.294958;-9.492823
WLADIMIR GAROTINHO;PSD;Rio de Janeiro;327;Não;Sim;Não;Não;Sim;Não;Não Votou;Não Votou;Não;Não Votou;Sim;Não Votou;Sim;Não;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-21.779078;-4.5470104
SORAYA SANTOS;PR;Rio de Janeiro;328;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;9.784054;-2.0806947
SÓSTENES CAVALCANTE;DEM;Rio de Janeiro;329;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;9.222162;0.47243968
RENATA ABREU;Podemos;São Paulo;330;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;20.517773;13.0475
ALEX MANENTE;PPS;São Paulo;331;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;MINORIA;28.54359;7.131544
ABOU ANNI;PSL;São Paulo;332;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;23.02048;7.071344
ADRIANA VENTURA;NOVO;São Paulo;333;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Não Votou;Não;Sim;Sim;Não;Não;Não;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Sim;Abstenção;GOVERNO;0.4513313;-4.8301244
ALEXANDRE LEITE;DEM;São Paulo;334;Não;Sim;Não Votou;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Não Votou;Sim;Não Votou;Obstrução;Não;Sim;Não;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-15.941778;-21.424225
BRUNA FURLAN;PSDB;São Paulo;335;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Não Votou;Obstrução;Sim;Não Votou;Sim;Não Votou;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.016782;-19.630608
ARLINDO CHINAGLIA;PT;São Paulo;336;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;OPOSIÇÃO;-15.909344;-10.0713
ALENCAR SANTANA BRAGA;PT;São Paulo;337;Não;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;3.857962;2.543039
CARLOS SAMPAIO;PSDB;São Paulo;338;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;18.90175;10.137044
ARNALDO JARDIM;PPS;São Paulo;339;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-13.907085;-17.829134
ALEXANDRE FROTA;PSL;São Paulo;340;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Não Votou;Não Votou;Não;Não;Sim;Não Votou;Não;Sim;Sim;GOVERNO;9.73266;-8.405921
ALEXANDRE PADILHA;PT;São Paulo;341;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;28.482805;7.5202484
BALEIA ROSSI;MDB;São Paulo;342;Não Votou;Sim;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;GOVERNO;10.957299;-5.6299024
ALEXIS FONTEYNE;NOVO;São Paulo;343;Sim;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;15.484602;2.87016
GUILHERME DERRITE;PP;São Paulo;344;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;6.1603727;15.9154825
ELI CORRÊA FILHO;DEM;São Paulo;345;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Não;Sim;Sim;GOVERNO;-12.524898;-7.906777
CAPITÃO AUGUSTO;PR;São Paulo;346;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-9.539743;-10.872022
CELSO RUSSOMANNO;PRB;São Paulo;347;Não Votou;Sim;Não;Não;Sim;Não;Não;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.268117;4.8814034
GUILHERME MUSSI;PP;São Paulo;348;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;19.112888;9.417666
JEFFERSON CAMPOS;PSB;São Paulo;349;Não;Não;Não;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;OPOSIÇÃO;4.183294;4.6038413
CARLA ZAMBELLI;PSL;São Paulo;350;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Abstenção;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;22.926737;8.129808
CEZINHA DE MADUREIRA;PSD;São Paulo;351;Não;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.114314;-2.7238247
EDUARDO BOLSONARO;PSL;São Paulo;352;Não Votou;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;14.203672;0.2292535
EDUARDO CURY;PSDB;São Paulo;353;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Abstenção;Não;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-18.895372;-5.1675124
CORONEL TADEU;PSL;São Paulo;354;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;GOVERNO;-7.6382756;-9.877692
FAUSTO PINATO;PP;São Paulo;355;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.733937;7.0432777
DAVID SOARES;DEM;São Paulo;356;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;16.816011;12.287695
ENRICO MISASI;PV;São Paulo;357;Sim;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Sim;Obstrução;Sim;Obstrução;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Sim;Sim;MINORIA;-17.623442;-25.61401
GENERAL PETERNELLI;PSL;São Paulo;358;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.1303988;9.05667
IVAN VALENTE;PSOL;São Paulo;359;Sim;Não;Não;Não;Sim;Não;Não;Não;Não Votou;Sim;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não;Sim;Sim;OPOSIÇÃO;2.0638473;7.693214
GILBERTO NASCIMENTO;PSC;São Paulo;360;Não;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;17.561956;14.013738
GENINHO ZULIANI;DEM;São Paulo;361;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;16.941053;12.530156
HERCULANO PASSOS;MDB;São Paulo;362;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;GOVERNO;-20.648838;-6.871886
GUIGA PEIXOTO;PSL;São Paulo;363;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;20.117163;8.046086
JOICE HASSELMANN;PSL;São Paulo;364;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;23.500065;6.5388856
JÚNIOR BOZZELLA;PSL;São Paulo;365;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.509184;16.015392
KIM KATAGUIRI;DEM;São Paulo;366;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Não Votou;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Não;GOVERNO;24.188019;14.609731
LUIZ CARLOS MOTTA;PR;São Paulo;367;Não;Não Votou;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;6.0059032;3.4876757
LUIZ PHILIPPE DE ORLEANS E BRAG;PSL;São Paulo;368;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;9.942984;16.223186
MARCO BERTAIOLLI;PSD;São Paulo;369;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-15.885283;-18.35183
MARCIO ALVINO;PR;São Paulo;370;Não;Sim;Não Votou;Não Votou;Não;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.851632;-5.326217
LUIZA ERUNDINA;PSOL;São Paulo;371;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Sim;Não Votou;Não Votou;Não Votou;Art.;Não Votou;Não Votou;Não Votou;Não;Não Votou;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-13.429937;-10.112605
PAULO PEREIRA DA SILVA;Solidariedade;São Paulo;372;Não;Não Votou;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Não Votou;Sim;MINORIA;13.04327;22.552578
MARCOS PEREIRA;PRB;São Paulo;373;Não Votou;Sim;Não;Não;Não;Não;Não Votou;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;11.462352;22.115389
MARIA ROSAS;PRB;São Paulo;374;Não;Sim;Sim;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não Votou;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Não;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-18.563908;-12.980345
MILTON VIEIRA;PRB;São Paulo;375;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;3.0851388;12.16312
PAULO TEIXEIRA;PT;São Paulo;376;Não;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;0.15045926;11.646025
POLICIAL KATIA SASTRE;PR;São Paulo;377;Sim;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Sim;Não Votou;Não;Não;Sim;Sim;GOVERNO;11.720635;-1.6547687
MIGUEL LOMBARDI;PR;São Paulo;378;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-17.553038;-9.021269
PR. MARCO FELICIANO;Podemos;São Paulo;379;Não Votou;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Sim;MINORIA;-24.02645;-13.207025
PAULO FREIRE;PR;São Paulo;380;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Obstrução;Obstrução;Sim;Obstrução;Sim;Não Votou;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-12.612322;-25.279694
LUIZ FLÁVIO GOMES;PSB;São Paulo;381;Não;Não;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;19.35234;17.953156
NILTO TATTO;PT;São Paulo;382;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-17.172459;4.897625
RICARDO IZAR;PP;São Paulo;383;Sim;Não Votou;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-8.367885;7.600447
RODRIGO AGOSTINHO;PSB;São Paulo;384;Não;Não;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não Votou;Não;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-23.385658;-17.348997
ROBERTO DE LUCENA;Podemos;São Paulo;385;Não;Não Votou;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;12.986463;22.858618
ORLANDO SILVA;PCdoB;São Paulo;386;Não Votou;Não;Sim;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-15.75786;5.03872
ROBERTO ALVES;PRB;São Paulo;387;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;2.9645734;-1.6435745
ROSANA VALLE;PSB;São Paulo;388;Não;Não;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Sim;Obstrução;Abstenção;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-12.751332;-21.632587
SAMUEL MOREIRA;PSDB;São Paulo;389;Não;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Não;Não;Não Votou;Sim;GOVERNO;-16.80407;-22.815165
RUI FALCÃO;PT;São Paulo;390;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-5.978741;9.9174185
SÂMIA BOMFIM;PSOL;São Paulo;391;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não Votou;Sim;OPOSIÇÃO;-12.814619;5.2428527
TIRIRICA;PR;São Paulo;392;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;7.2410483;6.4171643
TABATA AMARAL;PDT;São Paulo;393;Não Votou;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;27.26736;6.620922
VANDERLEI MACRIS;PSDB;São Paulo;394;Não;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Obstrução;Sim;Sim;Sim;Não Votou;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.025949;-26.560276
VINICIUS POIT;NOVO;São Paulo;395;Sim;Sim;Não;Não;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Sim;Sim;GOVERNO;-7.2675934;-11.31301
VICENTINHO;PT;São Paulo;396;Não;Não;Obstrução;Obstrução;Obstrução;Não Votou;Sim;Obstrução;Obstrução;Obstrução;Sim;Obstrução;Sim;Sim;Obstrução;Sim;Sim;Obstrução;Não;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;-10.841102;-22.336212
VINICIUS CARVALHO;PRB;São Paulo;397;Não Votou;Não Votou;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-0.7171938;-4.725849
CARLOS ZARATTINI;PT;São Paulo;398;Não;Não Votou;Abstenção;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Sim;Não;Não Votou;Sim;Sim;OPOSIÇÃO;-3.3585987;6.7982507
VITOR LIPPI;PSDB;São Paulo;399;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-1.9543848;2.6963627
JUAREZ COSTA;MDB;Mato Grosso;401;Sim;Sim;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não Votou;Sim;Não;Sim;Não Votou;Sim;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;GOVERNO;10.064329;-8.268911
DR. LEONARDO;Solidariedade;Mato Grosso;402;Não;Sim;Não;Não Votou;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;MINORIA;10.037314;4.2234244
EMANUEL PINHEIRO NETO;PTB;Mato Grosso;403;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;15.137701;12.173497
JOSÉ MEDEIROS;Podemos;Mato Grosso;404;Sim;Sim;Não;Não;Não;Não Votou;Não;Não;Não;Sim;Sim;Não;Não;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;14.37212;-1.912251
NELSON BARBUDO;PSL;Mato Grosso;405;Sim;Sim;Não Votou;Não Votou;Obstrução;Obstrução;Obstrução;Não Votou;Não Votou;Não Votou;Sim;Obstrução;Sim;Não Votou;Não Votou;Não Votou;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-18.91989;-25.031046
NERI GELLER;PP;Mato Grosso;406;Não Votou;Sim;Não Votou;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Obstrução;Sim;Sim;Sim;Obstrução;Obstrução;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Sim;GOVERNO;-14.52153;-27.420345
ERIKA KOKAY;PT;Distrito Federal;407;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;OPOSIÇÃO;24.878313;14.901835
PROFESSORA ROSA NEIDE;PT;Mato Grosso;408;Não;Não;Não Votou;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;OPOSIÇÃO;16.229898;18.785027
BIA KICIS;PSL;Distrito Federal;409;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;5.553948;16.137558
CELINA LEÃO;PP;Distrito Federal;410;Não Votou;Não Votou;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;10.93881;24.057493
FLÁVIA ARRUDA;PR;Distrito Federal;411;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Sim;Não Votou;Não;Sim;Sim;GOVERNO;22.250868;10.943783
JULIO CESAR RIBEIRO;PRB;Distrito Federal;412;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;-6.1216016;3.617553
PAULA BELMONTE;PPS;Distrito Federal;414;Não;Sim;Não;Não;Sim;Não Votou;Não;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;MINORIA;11.55889;16.735277
PROFESSOR ISRAEL BATISTA;PV;Distrito Federal;415;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Não Votou;Sim;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Não Votou;Sim;Sim;MINORIA;13.785552;18.22556
ADRIANO DO BALDY;PP;Goiás;416;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Sim;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Sim;Sim;GOVERNO;-5.718799;-4.1549907
CÉLIO SILVEIRA;PSDB;Goiás;417;Não Votou;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;6.188217;11.885106
JOÃO CAMPOS;PRB;Goiás;418;Não;Sim;Não;Não;Sim;Não;Não Votou;Não;Não;Sim;Sim;Não;Não Votou;Não Votou;Sim;Não;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-6.1563463;1.3749931
ALCIDES RODRIGUES;PRP;Goiás;419;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Não;Não;Sim;Sim;MINORIA;-10.032792;-8.442433
DR. ZACHARIAS CALIL;DEM;Goiás;420;Não;Sim;Não;Não;Sim;Não Votou;Não Votou;Não;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não;Não Votou;Sim;Não;Não;Sim;Sim;GOVERNO;-4.6578116;1.7672175
