Nome;Partido;Estado;Codigo;CD01O206E008995;CD01O206E008996;CD01O206E008997;CD01O207E008998;CD01O207E008999;CD01O207E009000;CD01O207E009001;CD01O207E009002;CD01O208E009003;CD01O208E009004;CD01O208E009005;CD01O210E009006;CD01O210E009007;CD01O210E009008;CD01O210E009009;CD01O210E009010;CD01O210E009011;CD01O215O009012;CD01O216E009013;CD01O216E009014;CD01O216E009015;CD01O216E009016;CD01O218E009018;CD01O218E009019;CD01O218E009021;CD01O218E009022;CD01O218E009023;CD01O218E009024;CD01O218E009025;Lado;tsne-1d-one;tsne-2d-two
DAVID MIRANDA;PSOL;Rio de Janeiro;519;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;OPOSIÇÃO;-7.592893;3.6679237
LUIS MIRANDA;DEM;Distrito Federal;525;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Obstrução;Não Votou;Não;Sim;Sim;Sim;Não;Não;Não Votou;Não;Sim;Não;GOVERNO;4.3205853;-9.124591
EVANDRO ROMAN;PSD;Paraná;527;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;8.128436;16.671198
REINHOLD STEPHANES JUNIOR;PSD;Paraná;528;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;18.490458;2.8532712
DARCÍSIO PERONDI;MDB;Rio Grande do Sul;529;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não Votou;Sim;Não;Sim;GOVERNO;-20.013567;-2.4101486
TED CONTI;PSB;Espírito Santo;531;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Obstrução;Sim;Não Votou;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Obstrução;Obstrução;Obstrução;Não;Não;Sim;Sim;Não;Não;Não;Sim;Não;OPOSIÇÃO;-3.0572069;-9.760314
SANTINI;PTB;Rio Grande do Sul;534;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Não Votou;Não Votou;Não;Não;Não;Sim;Não;Não;GOVERNO;-21.373081;-3.2197134
JOSEILDO RAMOS;PT;Bahia;537;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Não;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.476563;6.0740404
PAULO MAGALHÃES;PSD;Bahia;538;Não Votou;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;1.7024095;-2.597234
GASTÃO VIEIRA;PROS;Maranhão;539;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não Votou;Não Votou;Sim;MINORIA;-0.8628614;7.9254384
ANÍBAL GOMES;DEM;Ceará;541;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;20.01299;-2.0508895
PAES LANDIM;PTB;Piauí;542;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Sim;;;;;;;;;;;;;GOVERNO;3.1681821;-4.5209837
