Nome;Partido;Estado;Codigo;CD01O206E008995;CD01O206E008996;CD01O206E008997;CD01O207E008998;CD01O207E008999;CD01O207E009000;CD01O207E009001;CD01O207E009002;CD01O208E009003;CD01O208E009004;CD01O208E009005;CD01O210E009006;CD01O210E009007;CD01O210E009008;CD01O210E009009;CD01O210E009010;CD01O210E009011;CD01O215O009012;CD01O216E009013;CD01O216E009014;CD01O216E009015;CD01O216E009016;CD01O218E009018;CD01O218E009019;CD01O218E009021;CD01O218E009022;CD01O218E009023;CD01O218E009024;CD01O218E009025;Lado;tsne-1d-one;tsne-2d-two
PROFESSORA ROSA NEIDE;PT;Mato Grosso;408;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Não Votou;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;OPOSIÇÃO;-11.573946;8.372848
BIA KICIS;PSL;Distrito Federal;409;Não;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;5.4319897;15.18152
CELINA LEÃO;PP;Distrito Federal;410;Não Votou;Sim;Obstrução;Não;Não;Sim;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;GOVERNO;15.395681;-0.24567668
FLÁVIA ARRUDA;PL;Distrito Federal;411;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;MINORIA;6.369534;-9.037958
JULIO CESAR RIBEIRO;PRB;Distrito Federal;412;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;9.155947;16.408237
PAULA BELMONTE;CIDADANIA;Distrito Federal;414;Não Votou;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;-18.85727;-0.041092373
PROFESSOR ISRAEL BATISTA;PV;Distrito Federal;415;Sim;Sim;Obstrução;Sim;Sim;Não Votou;Não;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Não Votou;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não Votou;MINORIA;-6.827116;3.5231662
ADRIANO DO BALDY;PP;Goiás;416;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;8.344236;16.311907
CÉLIO SILVEIRA;PSDB;Goiás;417;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;6.592846;19.255806
JOÃO CAMPOS;PRB;Goiás;418;Não;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;4.4476795;-2.7371006
ALCIDES RODRIGUES;Patriota;Goiás;419;Não Votou;Sim;Não Votou;Não Votou;Não;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não Votou;Não;Não;Não;Sim;Não;MINORIA;6.4873524;-8.304037
DR. ZACHARIAS CALIL;DEM;Goiás;420;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Obstrução;Obstrução;Não;Não;Não;Sim;Sim;Não Votou;Não;Não;Sim;Não;GOVERNO;1.8965439;-12.798967
DELEGADO WALDIR;PSL;Goiás;421;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;GOVERNO;-19.234076;-0.91352195
FLÁVIA MORAIS;PDT;Goiás;422;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não;Não;Sim;Não;Não;Não;Obstrução;Obstrução;Obstrução;Não;Não Votou;Não Votou;Sim;Não;Não;Não Votou;Sim;Não;MINORIA;-22.804207;-22.993143
ELIAS VAZ;PSB;Goiás;423;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Não Votou;Sim;Não Votou;Sim;Sim;Não Votou;Não;Sim;OPOSIÇÃO;-12.320851;6.3697867
FRANCISCO JR.;PSD;Goiás;424;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;-19.858929;-1.6032498
RUBENS OTONI;PT;Goiás;425;Obstrução;Obstrução;Sim;Obstrução;Obstrução;Obstrução;Obstrução;Não Votou;Obstrução;Não;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Não Votou;Não;Não Votou;OPOSIÇÃO;-12.906363;6.041729
GLAUSTIN FOKUS;PSC;Goiás;426;Não;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;14.37255;1.545582
JOSE MARIO SCHREINER;DEM;Goiás;427;Não;Sim;Obstrução;Não;Não;Não Votou;Não;Sim;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;Não Votou;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Não Votou;GOVERNO;9.553621;10.353346
JOSÉ NELTO;Podemos;Goiás;428;Não;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Não Votou;Não Votou;Sim;Não;Sim;Sim;Não Votou;Não;Sim;MINORIA;12.920323;19.178793
MAJOR VITOR HUGO;PSL;Goiás;429;Não;Sim;Obstrução;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Sim;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;7.0938044;15.361969
LUCAS VERGILIO;Solidariedade;Goiás;430;Não Votou;Sim;Não Votou;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;MINORIA;4.9669504;13.336367
MAGDA MOFATTO;PL;Goiás;431;Não;Sim;Obstrução;Não;Não Votou;Não Votou;Não Votou;Sim;Não Votou;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não Votou;Sim;Não Votou;Não;Não;Não Votou;Não Votou;Não;MINORIA;6.070726;-10.982304
PROFESSOR ALCIDES;PP;Goiás;432;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Sim;GOVERNO;21.005281;-0.2995537
