Nome;Partido;Estado;Codigo;CD01O004O008658;CD01O004O008660;CD01O006O008679;CD01O008E008686;CD01O010O008688;CD01O010O008689;CD01O010O008694;CD01O010O008695;CD01O011O008696;CD01O011O008697;CD01O011O008698;CD01O011O008699;CD01O011O008700;CD01O011O008701;CD01O011O008702;CD01O012E008703;CD01O012E008704;CD01O012E008705;CD01O013E008706;Lado;tsne-1d-one;tsne-2d-two
CABO JUNIO AMARAL;PSL;Minas Gerais;225;Não;Não;Sim;Não;Não;Sim;Não;Sim;Obstrução;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;23.799603;23.840239
CHARLLES EVANGELISTA;PSL;Minas Gerais;226;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;23.875042;25.149208
DELEGADO MARCELO FREITAS;PSL;Minas Gerais;227;Não;Não;Sim;Não;Não;Sim;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não;Sim;Não;GOVERNO;24.85674;24.060646
DIEGO ANDRADE;PSD;Minas Gerais;228;Não;Não;Não Votou;Não;Sim;Sim;Não;Sim;Não;Sim;Não Votou;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;18.001358;9.315604
DR. FREDERICO;Patriota;Minas Gerais;229;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Abstenção;Sim;Sim;Sim;Não Votou;Não;Sim;Não;MINORIA;15.200515;4.5410547
EDUARDO BARBOSA;PSDB;Minas Gerais;230;Não;Não;Sim;Não;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Sim;GOVERNO;4.453538;0.60875255
DIMAS FABIANO;PP;Minas Gerais;231;Não Votou;Não;Sim;Não Votou;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não Votou;Não Votou;Sim;Não;GOVERNO;4.797947;8.813454
BILAC PINTO;DEM;Minas Gerais;232;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não Votou;Sim;Não;Não;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;13.29082;10.691406
DOMINGOS SÁVIO;PSDB;Minas Gerais;233;Não Votou;Não Votou;Não Votou;Não;Sim;Não;Não Votou;Sim;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Sim;Não;Não Votou;Não Votou;Não Votou;GOVERNO;3.600731;6.969383
EMIDINHO MADEIRA;PSB;Minas Gerais;234;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;OPOSIÇÃO;5.5425887;15.467716
MARCELO ARO;PHS;Minas Gerais;236;Não Votou;Não Votou;Sim;Não Votou;Não Votou;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;6.3248296;15.703791
MARGARIDA SALOMÃO;PT;Minas Gerais;237;Obstrução;Não Votou;Não;Obstrução;Sim;Não Votou;Sim;Não;Não Votou;Não;Não Votou;Sim;Não Votou;Não;Não;Obstrução;Sim;Não;Obstrução;OPOSIÇÃO;-17.079412;-21.775414
FÁBIO RAMALHO;MDB;Minas Gerais;238;Não Votou;Não;Sim;Não;Não Votou;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Não;Não;Não;Não;Não;Não;GOVERNO;1.1384945;-6.781349
MÁRIO HERINGER;PDT;Minas Gerais;239;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Sim;Não;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não;Não;Não Votou;Sim;Não Votou;Não;MINORIA;-13.170207;-17.756464
EUCLYDES PETTERSEN;PSC;Minas Gerais;240;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não Votou;Sim;Sim;Sim;Não;Não;Sim;Não Votou;GOVERNO;7.77562;8.230805
FRANCO CARTAFINA;PHS;Minas Gerais;241;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Sim;Sim;Não;Não Votou;Sim;Não;GOVERNO;6.1741295;8.196895
EROS BIONDINI;PROS;Minas Gerais;242;Não Votou;Não;Sim;Não;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Sim;Não;MINORIA;5.920055;6.6743608
LINCOLN PORTELA;PR;Minas Gerais;243;Não;Não;Sim;Não Votou;Sim;Não Votou;Não;Sim;Não;Sim;Não;Não;Não Votou;Sim;Sim;Não;Não Votou;Não;Não Votou;GOVERNO;-0.11436029;4.287457
FRED COSTA;Patriota;Minas Gerais;244;Não;Não;Sim;Não;Sim;Não;Abstenção;Sim;Não;Sim;Não;Abstenção;Sim;Sim;Sim;Não;Não;Sim;Não;MINORIA;7.9223266;2.7638586
MISAEL VARELLA;PSD;Minas Gerais;245;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;Não Votou;GOVERNO;-7.0671616;-11.108894
